,metascore,name,console,userscore,date,genre(s),developer,publisher,rating,esrb descriptors,number of online players,special controllers,number of players,official site,franchise
66,86,FIFA 14,PS3,4.3,"Sep 24, 2013","Ice Hockey, Sim, Soccer, Sports, Team, Traditional",EA Canada,EA Sports,E, ,Up to 22 Players, , ,http://www.ea.com/soccer/fifa14,FIFA Soccer Series
67,97,Grand Theft Auto V,PS4,8.3,"Nov 18, 2014","Action Adventure, Modern, Open-World",Rockstar North,Rockstar Games,M, ,Up to 30 Players, , ,http://www.rockstargames.com/,Grand Theft Auto Series
68,95,The Last of Us Remastered,PS4,9.1,"Jul 29, 2014","Action Adventure, General, Modern",Naughty Dog,SCEA,M, ,Up to 8 Players, , , ,
69,92,Super Smash Bros. for Wii U,WIIU,9,"Nov 21, 2014","2D, 3D, Action, Fighting",Bandai Namco Games,Nintendo,E10+, ,Up to 4 Players, , , ,Smash Bros. Series
70,91,Dark Souls II,X360,7.9,"Mar 11, 2014","Action RPG, Role-Playing",From Software,Namco Bandai Games,T, ,Up to 4 Players, , ,http://www.darksoulsii.com/,Dark Souls Series
71,91,Bayonetta 2,WIIU,9,"Sep 20, 2014","Action Adventure, Fantasy, Linear",PlatinumGames,Nintendo,M, ,No Online Multiplayer, ,,http://www.nintendo.com/games/detail/8GnzgLRe8-ifS047QNoFsrvDn8k6R4Ey,Bayonetta Series
72,91,Kentucky Route Zero - Act III,PC,6.6,"May 6, 2014","Adventure, General",Cardboard Computer,Cardboard Computer, , , , , ,http://kentuckyroutezero.com/,Kentucky Route Zero Series
73,91,Dark Souls II,PC,7.2,"Apr 24, 2014","Action RPG, Role-Playing",From Software,Bandai Namco Games,T, ,Up to 4 Players, , ,http://www.darksoulsii.com/,Dark Souls Series
74,91,Dark Souls II,PS3,8.1,"Mar 11, 2014","Action RPG, Role-Playing",From Software,Namco Bandai Games,T, ,Up to 4 Players, , ,http://www.darksoulsii.com/,Dark Souls Series
75,90,Diablo III: Ultimate Evil Edition,PS4,8,"Aug 19, 2014","Action RPG, Role-Playing",Blizzard Entertainment,Blizzard Entertainment,M, ,Up to 4 Players, , , ,Diablo Series
76,90,Rayman Legends,PS4,8.5,"Feb 18, 2014","2D, Action, Platformer",Ubisoft Montpellier,Ubisoft,E10+, ,No Online Multiplayer, , ,http://www.raymanlegends.com/,Rayman Series
77,86,XCOM: Enemy Within,PC,8,"Nov 11, 2013","General, Sci-Fi, Strategy, Turn-Based",Firaxis Games,2K Games,M,Blood and Gore Strong Language Violence, , , ,http://www.xcom.com/,X COM Series
78,86,Luigi's Mansion: Dark Moon,3DS,8.5,"Mar 24, 2013","Action Adventure, Fantasy, General",Next Level Games,Nintendo,E, ,Up to 4 Players, ,1 Player, ,Mario Series
79,86,Path of Exile,PC,8,"Jan 25, 2013","Action RPG, Role-Playing",Grinding Gear Games,Grinding Gear Games, , ,Online Multiplayer, , , ,
80,85,Ni no Kuni: Wrath of the White Witch,PS3,8.7,"Jan 22, 2013","Console-style RPG, General, Japanese-Style, Role-Playing",Level 5,Namco Bandai Games,E10+,Alcohol and Tobacco Reference Comic Mischief Fantasy Violence Mild Language Simulated Gambling,No Online Multiplayer, ,1 Player,http://www.ninokunigame.com/,Ni no Kuni Series
81,85,The Wolf Among Us: Episode 1 - Faith,PS3,8.8,"Oct 15, 2013","Action Adventure, Adventure, Fantasy, General, Point-and-Click",Telltale Games,Telltale Games,M, , , , ,http://www.telltalegames.com/thewolfamongus,
82,85,Battlefield 4,PS4,7,"Nov 12, 2013","Action, Arcade, First-Person, Modern, Shooter",EA DICE,Electronic Arts,M, ,Up to 64 Players, , , ,Battlefield Series
83,85,NBA 2K14,PS4,6.5,"Nov 12, 2013","Basketball, Sim, Sports, Team, Traditional",Visual Concepts,2K Sports,E, ,Up to 10 Players, , , ,NBA 2K Basketball Series
84,85,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,PC,8.1,"Feb 26, 2013","Action, Miscellaneous, Music, Rhythm",Gaijin Games,Gaijin Games,T,Crude Humor,No Online Multiplayer, , ,http://www.runner2.com/,Bit.Trip Series
85,90,Velocity 2X,VITA,7.2,"Sep 2, 2014","Action, General, Scrolling u""Shoot-Em-Up"", Shooter, Vertical",FuturLab,FuturLab,E10+, , , , , ,
86,90,Fez,PS4,6.3,"Mar 25, 2014","2D, Action, Platformer",Polytron Corp.,Polytron Corp.,E, , , ,1 Player,http://www.kokoromi.org/,
87,90,Shovel Knight,3DS,8.3,"Jun 26, 2014","2D, Action, Platformer",Yacht Club Games,Yacht Club Games,E, ,No Online Multiplayer, , ,http://www.kickstarter.com/projects/yachtclubgames/shovel-knight?ref=live,
88,90,Guacamelee! Super Turbo Championship Edition,WIIU,7.6,"Jul 2, 2014","2D, Action, Platformer",DrinkBox Studios,DrinkBox Studios,E10+, , , , , ,
89,89,Out of the Park Baseball 15,PC,7.1,"Apr 21, 2014","Baseball, Sim, Sports, Team, Traditional", ,Out Of The Park Developments, , , , , , ,Out of the Park Baseball Series
90,89,Dragon Age: Inquisition,PS4,7.4,"Nov 18, 2014","Action RPG, General, Role-Playing, Western-Style",BioWare,Electronic Arts,M, ,Up to 4 Players, , ,http://www.dragonage.com/,Dragon Age Series
91,89,Minecraft: PlayStation 4 Edition,PS4,6.4,"Sep 3, 2014","3D, Action Adventure, Adventure, Fantasy, First-Person
, Sandbox","4J Studios, Mojang AB",SCEA,E10+,Fantasy Violence,Up to 8 Players, , ,http://www.minecraft.net/,Minecraft Series
92,88,Mario Kart 8,WIIU,8.9,"May 30, 2014","Arcade, Automobile, Driving, Kart, Racing",Nintendo,Nintendo,E, ,Up to 12 Players, , , ,Mario Series
93,88,The Binding of Isaac: Rebirth,PS4,7.8,"Nov 4, 2014","Action, Action Adventure, Horror u""Shoot-Em-Up"", Shooter
, Survival, Top-Down",Nicalis,Nicalis,M, , , , , ,The Binding of Isaac Series
94,88,The Last of Us: Left Behind,PS3,8.2,"Feb 14, 2014","Action Adventure, General, Modern",Naughty Dog,SCEA,M, ,Up to 8 Players, , , ,
95,85,Hotline Miami,VITA,8.4,"Jun 25, 2013","Action, Action Adventure, General, Linear","Abstraction Games, Dennaton",Devolver Digital,M,Blood and Gore Crude Humor Drug Reference Intense Violence Partial Nudity Strong Language Use of Tobacco, , , ,http://www.hotlinemiami.com/,
96,85,Dust: An Elysian Tail,PC,8.5,"May 24, 2013","Action RPG, Role-Playing",Humble Hearts,Microsoft Game Studios,E10+, ,No Online Multiplayer, , ,http://www.elysiantail.com/main.html,
97,85,DmC: Devil May Cry,PC,6.8,"Jan 24, 2013","Action, Action Adventure, Fantasy, General, Linear","Ninja Theory, QLOC",Capcom,M,Blood and Gore Drug Reference Fantasy Violence Intense Violence Mild Blood Nudity Sexual Content Strong Language Use of Tobacco,No Online Multiplayer, , ,http://www.devilmaycry.com/,Devil May Cry Series
98,85,The Wolf Among Us: Episode 1 - Faith,PC,8.9,"Oct 11, 2013","Action Adventure, Adventure, Fantasy, General, Point-and-Click",Telltale Games,Telltale Games,M, ,No Online Multiplayer, , ,http://www.telltalegames.com/thewolfamongus,
99,85,Rogue Legacy,PC,7.9,"Jun 27, 2013","2D, Action, General, Platformer, Role-Playing",Cellar Door Games,Cellar Door Games, , ,No Online Multiplayer, ,1 Player,http://steamcommunity.com/sharedfiles/filedetails/?id=136969358,
100,85,BattleBlock Theater,X360,7.9,"Apr 3, 2013","2D, Action, Platformer",The Behemoth,Microsoft Game Studios,T, , , , ,http://www.battleblocktheater.com/,
101,85,Brothers: A Tale of Two Sons,PS3,8.6,"Sep 3, 2013","Action Adventure, Fantasy, Linear",Starbreeze,505 Games,T,Blood Crude Humor Violence, , , ,http://www.brothersthegame.com/,
102,85,Football Manager 2014,PC,5.6,"Oct 30, 2013","Management, Soccer, Sports, Team, Traditional",Sports Interactive,Sega,E, , , , , ,Football Manager Series
103,85,Sid Meier's Civilization V: Brave New World,PC,8.6,"Jul 8, 2013","4X, Historic, Strategy, Turn-Based",Firaxis Games,2K Games,E10+, , , , ,http://www.civilization.com/,Civilization Series
104,85,Trials Evolution: Gold Edition,PC,6.8,"Mar 21, 2013","Arcade, Driving, Motocross, Motorcycle, Other, Racing",RedLynx,Ubisoft,E10+, , , , ,http://www.redlynx.com/,Trials Series
105,88,Shovel Knight,WIIU,8.4,"Jun 26, 2014","2D, Action, Platformer",Yacht Club Games,Yacht Club Games,E, , , , ,http://www.kickstarter.com/projects/yachtclubgames/shovel-knight?ref=live,
106,88,Minecraft: Xbox One Edition,XONE,6.7,"Nov 18, 2014","3D, Action Adventure, Adventure, Fantasy, First-Person
, Sandbox","4J Studios, Mojang AB",Microsoft Game Studios,E10+,Fantasy Violence,Up to 8 Players, , ,http://www.minecraft.net/,Minecraft Series
107,88,Guacamelee! Super Turbo Championship Edition,XONE,7,"Jul 2, 2014","2D, Action, Platformer",DrinkBox Studios,DrinkBox Studios,E10+, , , , , ,
108,88,Hearthstone: Heroes of Warcraft,PC,6.1,"Mar 11, 2014","Card Battle, Miscellaneous, Strategy, Turn-Based",Blizzard Entertainment,Blizzard Entertainment,T, ,2 Players, , , ,Warcraft Series
109,87,Guacamelee! Super Turbo Championship Edition,PS4,7.7,"Jul 1, 2014","2D, Action, Platformer",DrinkBox Studios,DrinkBox Studios,E10+, , , , , ,
110,87,Middle-earth: Shadow of Mordor,XONE,8,"Sep 30, 2014","Action Adventure, Fantasy, Open-World",Monolith Productions,Warner Bros. Interactive Entertainment,M, ,No Online Multiplayer, , , ,Lord of the Rings Series
111,87,Steins Gate,PC,8.8,"Mar 31, 2014","Adventure, First-Person, General, Modern, Visual Novel",M2,Jast,M, ,No Online Multiplayer, , , ,Science Adventure Series
112,87,The Walking Dead: Season Two Episode 5 - No Going Back,PS3,8.1,"Aug 26, 2014","Action, Adventure, General, Point-and-Click",Telltale Games,Telltale Games,M, , , , , ,The Walking Dead Series
113,87,Year Walk,PC,7,"Mar 6, 2014","3D, Adventure, First-Person, General, Miscellaneous, Modern",Simogo,Simogo, , , , , ,https://itunes.apple.com/us/app/year-walk/id555916407,
114,85,Terraria,VITA,8,"Dec 17, 2013","2D, Action, Action Adventure, Platformer, Sandbox",Engine Software,505 Games,T, ,Up to 8 Players, , ,http://www.terraria.org/,
115,85,DmC: Devil May Cry,PS3,5.4,"Jan 15, 2013","Action, Action Adventure, Fantasy, General, Linear",Ninja Theory,Capcom,M,Blood and Gore Drug Reference Fantasy Violence Intense Violence Mild Blood Nudity Sexual Content Strong Language Use of Tobacco,No Online Multiplayer, , ,http://www.devilmaycry.com/,Devil May Cry Series
116,85,"Papers, Please",PC,8.5,"Aug 8, 2013","Adventure, General",Lucas Pope,3909, , , , , , ,
117,84,Mass Effect 3: Citadel,X360,8.2,"Mar 5, 2013","Action RPG, Role-Playing",BioWare,Electronic Arts,M,Blood Partial Nudity Sexual Content Strong Language, , , ,http://masseffect.com/me3/game/,Mass Effect Series
118,84,Guacamelee!,PS3,7.7,"Apr 9, 2013","2D, Action, Platformer",DrinkBox Studios,DrinkBox Studios,E10+, , , , ,http://www.guacamelee.com/,
119,84,NBA 2K14,PS3,5,"Oct 1, 2013","Basketball, Sim, Sports, Team, Traditional",Visual Concepts,2K Sports,E, , , , , ,NBA 2K Basketball Series
120,84,Mass Effect 3: Citadel,PC,7.9,"Mar 5, 2013","Action RPG, Role-Playing",BioWare,Electronic Arts,M,Blood Partial Nudity Sexual Content Strong Language, , , ,http://masseffect.com/me3/game/,Mass Effect Series
121,84,Assassin's Creed IV: Black Flag,PC,7.7,"Nov 19, 2013","Action Adventure, Historic, Open-World",Ubisoft,Ubisoft,M, , , , ,http://assassinscreed.ubi.com/,Assassin\'s Creed Series
122,84,Lone Survivor: The Director's Cut,PS3,7.8,"Sep 24, 2013","Action Adventure, Horror, Survival","Curve Studios, superflat games",Curve Studios,T, , , , , ,
123,87,Mario Kart 8 DLC Pack 1,WIIU,9,"Nov 13, 2014","Arcade, Automobile, Driving, Kart, Racing",Nintendo,Nintendo,E, , , , , ,Mario Series
124,87,TowerFall Ascension,PC,6.7,"Mar 11, 2014","Action, General",Matt Thorson,Matt Makes Games Inc.,E10+, ,No Online Multiplayer, , , ,
125,87,TowerFall Ascension,PS4,7,"Mar 11, 2014","Action, General",Matt Thorson,Matt Makes Games Inc.,E10+, , , , , ,
126,87,Diablo III: Reaper of Souls,PC,6.6,"Mar 25, 2014","Action RPG, Role-Playing",Blizzard Entertainment,Blizzard Entertainment,M, , , , , ,Diablo Series
127,87,Divinity: Original Sin,PC,8.7,"Jan 17, 2014","Action RPG, Role-Playing, Western-Style",Larian Studios Games Ltd,Larian Studios Games Ltd,M, ,2 Players, , ,http://www.divinityoriginalsin.com/,Divinity Series
128,87,Dark Souls II: Crown of the Ivory King,PS3,8.3,"Sep 30, 2014","Action RPG, Role-Playing",Namco Bandai Games,Bandai Namco Games,T, , , , , ,Dark Souls Series
129,87,World of Warcraft: Warlords of Draenor,PC,5.9,"Nov 13, 2014","Fantasy, Massively Multiplayer, Massively Multiplayer Online
, Role-Playing",Blizzard Entertainment,Blizzard Entertainment,T, ,Massively Multiplayer, , , ,Warcraft Series
